 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 04/10/23 A 04/10/23                      04/10/23   12:01   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  12075667000302 S PIRES COMERCIO DE ALIM CAMPO GRANDE    RACHEL DE QUEIROZ           87      53,121       5.829,59  17,96  22,43  20,33  20,33  20,33   203     8,91  A36
     28  11329921000119 LEANDRO ARAUJO ALBUQUERQ CAMPO GRANDE    CONDESSA DE SAO JOAQ         3       0,525         120,00   0,70   0,22   0,41  97,05  97,05   153     5,21  A02
     29  10631874000109 DIAS E GUNDIM LTDA       CAMPO GRANDE    JULIA MAKSOUD                1       0,349         112,28   0,34   0,14   0,39  97,44  97,44   455     3,20  456
     30  43219993000108 MARTINS ACOUGUE E CONVEN CAMPO GRANDE    RUA JANUARIO BARBOSA         6       1,127         111,98   1,26   0,47   0,39  97,83  97,83   155     4,14  A13
     31  17328229000152 KATIA OLIVEIRA RICARDO D CAMPO GRANDE    RUA TUPACERETA               5       0,747         109,55   1,06   0,31   0,38  98,21  98,21   451     2,80  A02
     32  29938119000191 ANA PAULA FERREIRA DE SO CAMPO GRANDE    RUA DOM LADISLAU PAZ         2       0,500         108,64   0,60   0,21   0,37  98,59  98,59   155    18,10  A14
     33  27659045000129 IVANA MOSQUEIRA AMARAL   CAMPO GRANDE    BRIGADEIRO TOBIAS            2       0,874         107,14   0,59   0,36   0,37  98,96  98,96   153     7,14  A14
     34  12940791000119 NUNES E NASCIMENTO LTDA  CAMPO GRANDE    MASCARANHAS DE MORAI         1       0,249         105,89   0,35   0,10   0,36  99,33  99,33   455     2,94  456
     35  15798201000153 GABRIELA DOS REIS SANTOS CAMPO GRANDE    RUA SOUTO MAIOR              3       0,557         101,14   0,74   0,23   0,35  99,69  99,69   451     1,77  A14
     36  12469820000106 MERCADO KI PRECO         CAMPO GRANDE    DOLORES DURAN                1       0,250          88,55   0,27   0,10   0,30 100,00 100,00   459     5,20  A14

                                                              Total destes clientes:        486     236,730      28.664,12 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        486     236,730      28.664,12 100,00 100,00 100,00 100,00 100,00
