 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 12/09/23 A 12/09/23                      12/09/23   11:33   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  14870472000100 VASCONSELOS SANTOS E CIA CAMPO GRANDE    PRESIDENTE DELFIM MO        89      29,140       4.313,42  23,29  37,60  24,85  24,85  24,85    23     6,09  A35
     18  30531806000258 FARMACIA POPULAR DOM ANT CAMPO GRANDE    AVENIDA DAS BANDEIRA         2       0,325         233,17   0,68   0,41   1,34  88,21  88,21   451     1,76  A08
     19  25117031000158 MPB COMERCIO DE ALIMENTO CAMPO GRANDE    DOUTOR OLAVO VILELLA         7       1,256         222,71   1,99   1,62   1,28  89,50  89,50   459     0,93  A15
     20  10235154000116 GT COMERCIAL DE ALIMENTO CAMPO GRANDE    JOAO FRANCISCO DAMAS         4       0,500         218,25   1,13   0,64   1,25  90,75  90,75   401     9,09  A35
     21  38828793000104 ORION COMERCIO DE ALIMEN CAMPO GRANDE    RUA JORNALISTA VALDI         5       1,027         211,94   1,38   1,32   1,22  91,98  91,98   453     2,11  456
     22  11225384000167 ANDRE LIMA DE OLIVEIRA   CAMPO GRANDE    DA DIVISAO                   6       0,990         206,93   1,58   1,27   1,19  93,17  93,17   453     2,17  456
     23  17701561000110 CLAUDIVA PIRES DE OLIVEI CAMPO GRANDE    RUA ENGENHEIRO LUTHE         3       0,440         180,07   0,81   0,56   1,03  94,21  94,21   453    15,00  A14
     24   1621081000100 PANIFICADORA E CONFEIT P CAMPO GRANDE    RUA CARLINDA TOGNINI         4       0,691         165,41   1,27   0,89   0,95  95,16  95,16   459     2,50  A07
     25  35644067000143 GRP COMERCIO DE BEBIDAS  CAMPO GRANDE    RUA PROF LUIZ ALEXAN         6       0,793         153,51   1,63   1,02   0,88  96,04  96,04   455     2,64  456
     26  48303558000172 MERCADO DO SILVA COM DE  CAMPO GRANDE    RUA LAGOA DA PRATA           7       1,000         147,70   2,07   1,29   0,85  96,89  96,89   453     2,73  A02
     27   5432290000166 EDSON APARECIDO DA SILVA CAMPO GRANDE    PEDRO MENDES FONTOUR         3       0,440         137,05   0,86   0,56   0,78  97,68  97,68   453    10,54  A15
     28  10713751000109 POSTO FIGUEIRA RUI BARBO CAMPO GRANDE    RUA RUA TRINDADE 843         2       0,350         131,89   0,53   0,45   0,76  98,44  98,44   459     6,59  456
     29  43259017000170 DILMA LUCILAINE DOS S P  CAMPO GRANDE    AV ENG AMELIO CARVAL         2       0,350         130,43   0,63   0,45   0,75  99,20  99,20   457     7,24  A13
     30  31733016000137 CURURU BEER DIST E CONV  CAMPO GRANDE    ANHEMBI                      2       0,481         124,28   0,62   0,62   0,71  99,91  99,91   453     1,88  A14
     31  13847909000121 NICANOR RODRIGUES DOS SA CAMPO GRANDE    RUA HAFAN FELICIO            3       0,501         124,26   0,89   0,64   0,71 100,63 100,63   153     4,97  A14
     32  12469820000106 MERCADO KI PRECO         CAMPO GRANDE    DOLORES DURAN                2       0,800         114,50   0,55   1,03   0,65 101,29 101,29   459     4,77  A14
     33  19373399000184 IVOLIN KAPPELER FLORES   CAMPO GRANDE    RUA DA PATRIA                4       0,700         113,47   1,15   0,90   0,65 101,94 101,94   151     3,66  A14
     34   7586695000184 MARIA LUIZA NERVIS BERTA CAMPO GRANDE    ANA ROSA CASTILHO OC         3       0,873         108,60   0,94   1,12   0,62 102,57 102,57   155     6,38  A02
     35  19590649000138 NATHALIA PATEZ RODRIGUES CAMPO GRANDE    GENERAL ALBERTO CARL         1       0,276         107,83   0,51   0,35   0,62 103,19 103,19   451     5,99  456
     36  79072427000155 PANIFICADORA E CONF FLAM CAMPO GRANDE    DOS CRISANTEMOS              3       0,529         107,38   0,81   0,68   0,61 103,81 103,81   457     1,62  A07
     37  27946690000122 LIMA FERNANDES RESTAURAN CAMPO GRANDE    RUA DOM AQUINO               1       0,132         105,32   0,51   0,17   0,60 104,41 104,41   455     1,25  A16
     38  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    1       0,666         100,06   0,34   0,85   0,57 104,99 104,99   151    12,50  A14
     39  34090421000172 DOMINGUES CONVENIENCIA L CAMPO GRANDE    ARAGUACEMA                   0       0,000           0,00   0,00   0,00   0,00 104,99 104,99   459     0,00  A14
     40  12373895000199 EVA PINHEIRO HATAKEYAMA  DEODAPOLIS      DEODATO LEONARDO DA         19-      4,819-        867,07-  5,02-  6,21-  4,99-100,00 100,00     4     1,31  A02

                                                              Total destes clientes:        383      77,495      17.353,26 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        383      77,495      17.353,26 100,00 100,00 100,00 100,00 100,00
