 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 17/10/23 A 17/10/23                      17/10/23   11:44   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   3029716000290 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    JOSE ANTONIO               136      28,757       5.003,91  18,24  20,62  16,17  16,17  16,17   401     5,32  A15
     31   8325331000103 N NASCIMENTO DE FREITAS  CAMPO GRANDE    ESTEVEAO ALVES RIBEI         5       0,832         213,09   0,70   0,59   0,68  94,28  94,28   453     4,09  A14
     32  35644067000143 GRP COMERCIO DE BEBIDAS  CAMPO GRANDE    RUA PROF LUIZ ALEXAN         5       0,759         208,28   0,74   0,54   0,67  94,96  94,96   455     2,74  456
     33  14481418000172 FRANCIELLY BUZINHANI FER CAMPO GRANDE    ZULMIRA BORBA                8       1,398         207,16   1,13   1,00   0,66  95,63  95,63   155     8,63  456
     34  46993423000150 VIEIRA E MANFRINATTI COM CAMPO GRANDE    RUA EUCLIDES DA CUNH         3       0,499         203,57   0,44   0,35   0,65  96,28  96,28   455     7,27  A14
     35  32022904000104 GILSON RIBEIRO BATISTOTI CAMPO GRANDE    RUA RIO NEGRO                6       0,751         156,40   0,93   0,53   0,50  96,79  96,79   155     3,72  A02
     36  37818825000128 NIVALDO SOARES FERNANDES CAMPO GRANDE    RUA SALOMAO ABDALLA          2       0,498         143,11   0,29   0,35   0,46  97,25  97,25   459     2,07  456
     37  18536820000168 DEJAILTON GALDINO DOS SA CAMPO GRANDE    RUA KALINA DANCHE DE         7       1,000         140,10   1,06   0,71   0,45  97,71  97,71   453     2,59  A14
     38  46467233000108 M A VALENCUELA MINIMERCA CAMPO GRANDE    RUA YOKOAMA                  3       0,876         139,53   0,51   0,62   0,45  98,16  98,16   457     1,34  A14
     39  16514485000171 SARA CRISTINA DUARTE TOR CAMPO GRANDE    RUA FRANK SINATRA            5       0,625         125,10   0,75   0,44   0,40  98,56  98,56   153     2,08  456
     40  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    3       0,488         124,14   0,42   0,34   0,40  98,96  98,96   451     2,88  A14
     41  27541412000195 JUSCILENE Y K DA SILVA E CAMPO GRANDE    AV MANOEL DA COSTA L         6       0,774         109,17   0,85   0,55   0,35  99,31  99,31   453     2,59  A50
     42   7307950000102 JORGE MANOEL RODRIGUES   CAMPO GRANDE    AVE SENHOR DO BONFIM         2       0,386         108,40   0,30   0,27   0,35  99,67  99,67   455     2,04  456
     43  35645835000183 JEFERSON CARLOS LOPES DO CAMPO GRANDE    MARQUES DE LAVRADIO          2       0,749         102,00   0,38   0,53   0,32 100,00 100,00   153    17,00  A50

                                                              Total destes clientes:        749     139,429      30.940,39 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        749     139,429      30.940,39 100,00 100,00 100,00 100,00 100,00
