 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 08/11/23 A 08/11/23                      08/11/23   10:44   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   3029716000290 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    JOSE ANTONIO               142      26,345       6.559,75  20,24  21,23  23,14  23,14  23,14   401     2,28  A15
     12  12418621000179 EDUARDO CANDIDO COXEV    CAMPO GRANDE    RUA PONTE PRETA             14       1,880         464,68   2,00   1,51   1,63  78,72  78,72   457     4,55  456
     13  13211223000140 LAIZA MUDO DA SILVA LTDA CAMPO GRANDE    AVENIDA TAMANDARE           18       3,198         402,30   2,67   2,57   1,41  80,14  80,14   155     8,04  A09
     14  21508884000160 MARIA DILVA ALVES DA SIL CAMPO GRANDE    DURANDO PEREIRA DA S         6       1,287         385,21   0,94   1,03   1,35  81,50  81,50   453     3,21  A14
     15    580302000186 COMERCIO DE BEBIDAS LAUR CAMPO GRANDE    RUA QUINHEIRA               12       2,499         369,40   1,76   2,01   1,30  82,80  82,80   155     6,84  456
     16  51797701000134 NORTAO CONVENIENCIA E ME CAMPO GRANDE    AVENIDA MARINHA              6       3,499         359,54   0,89   2,82   1,26  84,07  84,07   451     5,13  456
     17  19590649000138 NATHALIA PATEZ RODRIGUES CAMPO GRANDE    GENERAL ALBERTO CARL         5       1,063         357,39   0,84   0,85   1,26  85,33  85,33   451     2,88  456
     18  35644067000143 GRP COMERCIO DE BEBIDAS  CAMPO GRANDE    RUA PROF LUIZ ALEXAN        12       1,548         351,01   1,73   1,24   1,23  86,57  86,57   455     4,33  456
     19  11639680000104 JOSE CARLOS DA SILVA     CAMPO GRANDE    JORNALISTA MARCIA ME         5       1,000         332,64   0,75   0,80   1,17  87,74  87,74   459     4,89  A14
     20  37096693000178 MEIA7 EXPRESS COM DE BEB CAMPO GRANDE    RUA NAVIRAI                  4       0,702         326,15   0,57   0,56   1,15  88,89  88,89   455     2,52  A02
     21   2081079000158 MERCADO LAYS LTDA        CAMPO GRANDE    TENENTE LIRA                 8       1,453         294,75   1,21   1,17   1,03  89,93  89,93   457     2,13  A14
     22  14960841000155 BRENO BLANCH BERGOLI     CAMPO GRANDE    SPIPE CALARGE                8       1,123         291,19   1,17   0,90   1,02  90,96  90,96   459     1,90  456
     23  31946764000106 BELINI COM DE ALIMENTOS  CAMPO GRANDE    RITA VIEIRA DE ANDRA        10       1,377         283,79   1,46   1,10   1,00  91,96  91,96   153     3,29  A15
     24  23466551000140 COMERCIAL DIAS DE ALIMEN CAMPO GRANDE    DOUTOR EULER DE AZEV        23       3,000         279,95   3,40   2,41   0,98  92,95  92,95   155     4,44  A15
     25   6914827000197 VERONICA RITA DA CONCEIC CAMPO GRANDE    SAO NICOLAU                 13       2,266         267,76   1,93   1,82   0,94  93,90  93,90   155     6,37  A14
     26  49787623000145 TAG RESTAURANTE E CONVEN CAMPO GRANDE    AVENIDA MATO GROSSO          5       0,847         246,50   0,81   0,68   0,86  94,77  94,77   455     2,59  A12
     27   3799916000141 COAN E TRAZZI LTDA       CAMPO GRANDE    EVELINA SELINGARDI           9       1,242         232,32   1,30   1,00   0,81  95,58  95,58   453     1,81  A15
     28  13557705000156 CACHOEIRA COMERCIO DE BE CAMPO GRANDE    RUA JERIBA                   9       1,332         229,49   1,30   1,07   0,80  96,39  96,39   455     1,88  456
     29  39784026000103 BRUNO S FERREIRA EIRELI  CAMPO GRANDE    RUA BARNABE HONORIO          4       1,287         208,26   0,65   1,03   0,73  97,13  97,13   453     0,89  A15
     30  27045598000191 AP CABALDI ME            CAMPO GRANDE    AV DAS MANSOES               3       1,093         176,22   0,55   0,88   0,62  97,75  97,75   451     0,89  456
     31   9616070000143 MERCEARIA E CONVENIENCIA CAMPO GRANDE    LUCIA MARTINS COELHO         5       1,080         170,24   0,81   0,87   0,60  98,35  98,35   451     1,15  456
     32  24453756000154 CICERO GUEDES DA SILVA   CAMPO GRANDE    RUA LUCIA MARTINS CO         2       0,693         112,14   0,35   0,55   0,39  98,75  98,75   451     0,89  456
     33  34327085000139 LEONARDO COSTA LEITE S B CAMPO GRANDE    RUA SPIPE CALARGE            2       0,308         106,27   0,31   0,24   0,37  99,12  99,12   459     5,31  456
     34  14262021000190 VICENTE RODRIGUES FERNAN CAMPO GRANDE    JOAO TELES                   1       0,190         105,92   0,24   0,15   0,37  99,50  99,50   453     1,70  A07
     35  35955725000118 J C BZERRA               CAMPO GRANDE    ABAETE                       3       0,501         102,22   0,49   0,40   0,36  99,86  99,86   151     4,08  A14
     36  32850683000162 JOAO D ARC FERREIRA DOS  CAMPO GRANDE    RUA DA BALEIA                1       0,250          39,22   0,15   0,20   0,13 100,00 100,00   151     6,53  A15

                                                              Total destes clientes:        701     124,071      28.342,45 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        701     124,071      28.342,45 100,00 100,00 100,00 100,00 100,00
