 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 14/11/23 A 14/11/23                      14/11/23   11:21   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  52321317000123 NOGUEIRA SUPERMERCADO LT CAMPO GRANDE    CAMPO NOBRE                 30       7,051       1.111,17  10,24  12,04   9,49   9,49   9,49   453     1,03  A15
     22  11970924000137 SAO LEOPOLDO POSTOS DE S CAMPO GRANDE    RUA RICARDO FRANCO           7       1,293         219,58   2,62   2,20   1,87  83,54  83,54   457     2,01  A25
     23  48988953000136 COMERCIO DE CARNES E MER CAMPO GRANDE    BARRA MANSA                  5       1,326         214,57   1,83   2,26   1,83  85,37  85,37   453     1,08  A13
     24  25117031000310 MPB COMERCIO DE ALIMENTO CAMPO GRANDE    RUA CORONEL SEBASTIA         5       1,256         213,33   1,94   2,14   1,82  87,20  87,20   459     0,82  A15
     25  24293280000131 MARCIO COSTA BARBUENO ME TERENOS         OITO DE MAIO                 4       1,289         208,26   1,56   2,20   1,78  88,98  88,98    23     0,89  A02
     26  46317893000102 VALDIR DE MACEDO MENDES  CAMPO GRANDE    RUA EDMUNDO DE ALMEI         2       0,500         166,30   0,89   0,85   1,42  90,40  90,40   457     4,89  A02
     27  36983142000163 E N A CASA DE CARNES E C CAMPO GRANDE    AVENIDA 2                    3       1,033         164,96   1,02   1,76   1,41  91,81  91,81   151     8,24  A14
     28  41363122000120 CELIA DE OLIVEIRA FERNAD CAMPO GRANDE    RUA BATAGUASSU               2       0,864         138,98   0,91   1,47   1,18  93,00  93,00   155     7,72  A14
     29  35645835000183 JEFERSON CARLOS LOPES DO CAMPO GRANDE    MARQUES DE LAVRADIO          6       1,248         131,79   2,16   2,13   1,12  94,12  94,12   153     5,49  A50
     30  46993423000150 VIEIRA E MANFRINATTI COM CAMPO GRANDE    RUA EUCLIDES DA CUNH         4       0,999         112,13   1,41   1,70   0,95  95,08  95,08   155     6,22  A14
     31  25232452000120 ROVANILDA MELLO ANTUNES  CAMPO GRANDE    VINTE E NOVE                 3       0,875         111,94   1,23   1,49   0,95  96,04  96,04   151     4,14  A14
     32   1101906000165 PAULA FRANCINETE R.BEZER CAMPO GRANDE    RUA ANTONIO MARIA CO         3       0,423         109,61   1,01   0,72   0,93  96,97  96,97   457     3,32  A07
     33  16514485000171 SARA CRISTINA DUARTE TOR CAMPO GRANDE    RUA FRANK SINATRA            4       0,500         105,68   1,53   0,85   0,90  97,88  97,88   153     2,20  456
     34  27494222000164 ALYSON ZANAN FELIX       CAMPO GRANDE    ERINE CALEPS DE ALME         5       0,664         104,45   1,79   1,13   0,89  98,77  98,77   453     2,67  456
     35  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    2       0,562          89,38   0,73   0,96   0,76  99,53  99,53   451     1,02  A14
     36  22146602000194 JOHNY SEABRA LOUREIRO    CAMPO GRANDE    AV DAS MANSOES               2       0,250          53,90   0,76   0,42   0,46 100,00 100,00   151     2,24  A07

                                                              Total destes clientes:        294      58,520      11.699,17 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        294      58,520      11.699,17 100,00 100,00 100,00 100,00 100,00
