 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 22/08/23 A 22/08/23                      22/08/23   11:11   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: anapb---------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1  39575110000117 BUY AT HOME COM VAREJ DE CAMPO GRANDE    AV CONSUL ASSAF TRAD       109      17,498       5.481,84  21,76  19,52  24,47  24,47  24,47   401     4,27  456
     12  33202736000100 MOURA E ASSIS LTDA       CAMPO GRANDE    AV 9                         6       0,583         411,39   1,22   0,65   1,83  74,87  74,87   151    58,77  A08
     13  18394336000141 RR COMERCIO DE ALIMENTOS CAMPO GRANDE    DOUTOR ARTHUR JORGE          8       1,229         388,17   1,61   1,37   1,73  76,60  76,60   455     3,59  456
     14  18536820000168 DEJAILTON GALDINO DOS SA CAMPO GRANDE    RUA KALINA DANCHE DE         9       2,041         310,07   1,93   2,27   1,38  77,98  77,98   453     2,81  A14
     15  40299810017342 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    AVENIDA RITA VIEIRA         11       1,571         305,24   2,30   1,75   1,36  79,35  79,35   459     2,29  456
     16  12373754000176 QUALITY PHARMA EIRELI    CAMPO GRANDE    RUA MARECHAL RONDON          4       0,495         295,32   0,85   0,55   1,31  80,67  80,67   455     1,77  A08
     17  10543161000185 CASA DOS DOCES POLETTO L CAMPO GRANDE    DOM AQUINO                   3       0,832         292,43   0,68   0,92   1,30  81,97  81,97   455     1,94  A02
     18  26764311000110 KF CORREA ME             CAMPO GRANDE    RUA ANTONIO MARIA CO         5       1,176         276,54   1,11   1,31   1,23  83,21  83,21   457     1,76  456
     19   1142123000120 ACOUGUE E MERCEARIA LOPE CAMPO GRANDE    RUA MARECHAL RONDON          7       1,192         271,27   1,55   1,33   1,21  84,42  84,42   457     3,87  A02
     20   8717115000103 J L L  LANCHES E REFEICO CAMPO GRANDE    REDENTOR                     6       1,040         265,88   1,37   1,16   1,18  85,60  85,60   459     3,91  A16
     21   7719377000144 LUZIA DE LURDES BISPO    CAMPO GRANDE    RUA BRASIL 1453             10       1,496         246,52   2,10   1,66   1,10  86,70  86,70   455     2,41  456
     22  46958123000130 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA PADRE MUSA TUMA          4       0,698         220,80   0,91   0,77   0,98  87,69  87,69   459     4,41  456
     23  20148166000167 QUEIROZ E FIEDLER LTDA   CAMPO GRANDE    RUA FRAIBURGO                4       0,474         209,76   0,80   0,52   0,93  88,63  88,63   459     2,65  A08
     24  48988953000136 COMERCIO DE CARNES E MER CAMPO GRANDE    BARRA MANSA                  4       1,190         209,52   0,84   1,32   0,93  89,56  89,56   453     0,97  A13
     25  28073397000160 MARIA MARCIA ARAUJO FEIT CAMPO GRANDE    ENGENHEIRO PAULO FRO         5       0,802         202,30   1,09   0,89   0,90  90,47  90,47   153     5,05  A10
     26  31946764000106 BELINI COM DE ALIMENTOS  CAMPO GRANDE    RITA VIEIRA DE ANDRA         3       0,499         188,14   0,72   0,55   0,84  91,31  91,31   459     5,53  A15
     27  36983142000163 E N A CASA DE CARNES E C CAMPO GRANDE    AVENIDA 2                    6       1,025         186,50   1,30   1,14   0,83  92,14  92,14   151     4,23  A14
     28  32022904000104 GILSON RIBEIRO BATISTOTI CAMPO GRANDE    RUA RIO NEGRO                6       0,775         178,68   1,21   0,86   0,79  92,94  92,94   155     3,19  A02
     29   4780542000347 LOCA MANIA CONVENIENCIA  CAMPO GRANDE    JULIO DE CASTILHO            3       0,664         164,16   0,63   0,74   0,73  93,67  93,67   451     2,98  456
     30  25232452000120 ROVANILDA MELLO ANTUNES  CAMPO GRANDE    VINTE E NOVE                 6       0,650         156,77   1,24   0,72   0,69  94,37  94,37   151     4,23  A14
     31  27494222000164 ALYSON ZANAN FELIX       CAMPO GRANDE    ERINE CALEPS DE ALME         8       0,998         155,02   1,68   1,11   0,69  95,06  95,06   453     2,87  456
     32  27946690000122 LIMA FERNANDES RESTAURAN CAMPO GRANDE    RUA DOM AQUINO               2       0,233         132,29   0,55   0,26   0,59  95,65  95,65   455     5,75  A16
     33  12417592000201 REBELO COMERCIO DE PROD. CAMPO GRANDE    AV RITA VIEIRA DE AN         2       0,290         128,56   0,41   0,32   0,57  96,23  96,23   459     4,14  A07
     34  41363122000120 CELIA DE OLIVEIRA FERNAD CAMPO GRANDE    RUA BATAGUASSU               4       0,740         122,04   0,91   0,82   0,54  96,77  96,77   455     1,56  A14
     35  44247985000120 FILEMON MEDINA DA SILVA  CAMPO GRANDE    RUA CLEMENTE PEREIRA         3       0,455         115,87   0,64   0,50   0,51  97,29  97,29   457     2,63  A14
     36  23622022000199 DROGARIA ESPIRITO SANTO  CAMPO GRANDE    ORLANDO DAROZ                1       0,330         111,15   0,32   0,36   0,49  97,78  97,78   459     2,58  A08
     37  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    2       0,241         110,30   0,46   0,26   0,49  98,28  98,28   451     1,67  A14
     38  46513082000179 RAMONA MOREIRA FERNANDES CAMPO GRANDE    RUA 60                       2       0,450         108,06   0,56   0,50   0,48  98,76  98,76   151     8,31  A13
     39  27361000000173 JANAINA FERREIRA CAMPOS  CAMPO GRANDE    RUA ANA JACINTA DE O         2       0,594         104,76   0,42   0,66   0,46  99,23  99,23   453     0,97  A14
     40   1101906000165 PAULA FRANCINETE R.BEZER CAMPO GRANDE    RUA ANTONIO MARIA CO         2       0,474         104,24   0,59   0,52   0,46  99,69  99,69   457     2,00  A07
     41  16842368000137 PANIFICADORA ALBUQUERQUE CAMPO GRANDE    JULIO VERNE                  1       0,221          34,83   0,34   0,24   0,15  99,85  99,85   459     2,90  A07
     42  25003749000113 SUELI DO CARMO COSTA DUR CAMPO GRANDE    RUA CACHOEIRA DO CAM         0       0,250          32,96   0,18   0,27   0,14 100,00 100,00   151     5,49  A14

                                                              Total destes clientes:        504      89,613      22.397,18 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        504      89,613      22.397,18 100,00 100,00 100,00 100,00 100,00
