 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 08/08/23 A 08/08/23                      08/08/23   10:47   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: anapb---------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   9531413001300 OLIVEIRA E CARNEIRO LTDA CAMPO GRANDE    AV SAO NICOLAU             276      40,144       8.782,46  35,21  27,76  26,80  26,80  26,80   203     4,39  A35
     22  21172867000102 NORBERTO VIEIRA QUINTILI CAMPO GRANDE    TAIOBA                       5       2,030         297,36   0,67   1,40   0,90  90,10  90,10   155     9,59  A14
     23   1914374000185 CARMO E SALES LTDA       CAMPO GRANDE    MARECHAL RONDON              4       0,749         282,21   0,63   0,51   0,86  90,96  90,96   459     5,53  A14
     24  40299810006308 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    RUA SPIPE CALARGE           11       1,533         265,47   1,40   1,06   0,81  91,77  91,77   459     3,40  456
     25  27494222000164 ALYSON ZANAN FELIX       CAMPO GRANDE    ERINE CALEPS DE ALME         3       0,750         244,14   0,50   0,51   0,74  92,52  92,52   453     4,78  456
     26  40299810006570 AM PM COMESTIVEIS LTDA   CAMPO GRANDE    ROUXINOL                     4       0,636         227,72   0,56   0,43   0,69  93,21  93,21   459     8,13  456
     27  46958123000130 MARAJA CONVENIENCIA LTDA CAMPO GRANDE    RUA PADRE MUSA TUMA          4       0,490         220,09   0,55   0,33   0,67  93,88  93,88   459     1,96  456
     28   8325331000103 N NASCIMENTO DE FREITAS  CAMPO GRANDE    ESTEVEAO ALVES RIBEI         4       0,566         212,10   0,55   0,39   0,64  94,53  94,53   453     2,79  A14
     29  23096567000109 VALDERCIR LIMA DE ALMEID CAMPO GRANDE    AVENIDA ORLANDO DARO         5       1,185         210,48   0,69   0,81   0,64  95,17  95,17   459     1,33  A15
     30  44263450000142 MERCADO PONTO FACIL LTDA CAMPO GRANDE    RUA GUAIANAZES               3       0,875         194,26   0,44   0,60   0,59  95,77  95,77   451     3,96  A14
     31  25232452000120 ROVANILDA MELLO ANTUNES  CAMPO GRANDE    VINTE E NOVE                 4       1,200         181,22   0,57   0,83   0,55  96,32  96,32   151     7,24  A14
     32  32022904000104 GILSON RIBEIRO BATISTOTI CAMPO GRANDE    RUA RIO NEGRO                6       0,775         178,68   0,78   0,53   0,54  96,87  96,87   155     3,19  A02
     33  41363122000120 CELIA DE OLIVEIRA FERNAD CAMPO GRANDE    RUA BATAGUASSU               4       1,240         164,04   0,53   0,85   0,50  97,37  97,37   155     6,07  A14
     34  41771264000126 LOURIVAL RAIMUNDO DE AND CAMPO GRANDE    RUA TAPAUA                   3       0,998         160,58   0,45   0,69   0,49  97,86  97,86    90     0,89  K09
     35  34306483000179 P. BORGES DRUMOND EIRELI CAMPO GRANDE    RUA ENGENHEIRO MILTO         0       0,155         157,05   0,11   0,10   0,47  98,34  98,34   459     1,49  A07
     36  16582331000117 DUENHA COMERCIO ALIMENTO CAMPO GRANDE    EVELINA FIGUEIREDO S         7       1,000         155,27   1,01   0,69   0,47  98,81  98,81   453     2,87  A02
     37  27020626000116 MANOEL CARNEIRO DE SOUZA CAMPO GRANDE    DA PATRIA                    5       0,682         134,77   0,69   0,47   0,41  99,22  99,22   451     3,64  A14
     38  16500180000100 PANIFICADORA REI DO TRIG CAMPO GRANDE    MANOEL JOAQUIM DE MO         1       0,449         112,86   0,24   0,31   0,34  99,57  99,57   451     2,97  A07
     39  44247985000120 FILEMON MEDINA DA SILVA  CAMPO GRANDE    RUA CLEMENTE PEREIRA         4       0,582         105,94   0,51   0,40   0,32  99,89  99,89   457     2,52  A14
     40  27541412000195 JUSCILENE Y K DA SILVA E CAMPO GRANDE    AV MANOEL DA COSTA L         0       0,083          34,45   0,07   0,05   0,10 100,00 100,00   453     2,87  A50

                                                              Total destes clientes:        783     144,578      32.758,71 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        783     144,578      32.758,71 100,00 100,00 100,00 100,00 100,00
