 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 21/02/24 A 21/02/24                      21/02/24   11:48   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   3029716000100 HORTIFRUTI SANTA RITA LT CAMPO GRANDE    GUAICURUS                   73      16,745       3.238,86  16,25  20,31  18,95  18,95  18,95   153     2,07  A15
     20  23253934000130 ALEXANDRE FLORES GUIMARA CAMPO GRANDE    CASCAIS                     10       2,400         323,20   2,43   2,91   1,89  80,45  80,45   153     5,47  456
     21  24694888000178 JAILSON MARCELO CEOLIN   CAMPO GRANDE    TAMADARE                     5       0,999         289,66   1,17   1,21   1,69  82,14  82,14   457     3,14  456
     22  46163330000107 JURANDIR SARAIVA         CAMPO GRANDE    RUA DOS SERVIDORES P         4       0,970         283,18   1,04   1,17   1,65  83,80  83,80   459     5,14  A15
     23  32850683000162 JOAO D ARC FERREIRA DOS  CAMPO GRANDE    RUA DA BALEIA                8       1,534         263,95   1,86   1,86   1,54  85,34  85,34   451     1,44  A15
     24  29101810000116 R L SUPERMERCADOS EIRELI CAMPO GRANDE    ZULMIRA BORBA                5       1,492         260,48   1,18   1,81   1,52  86,87  86,87   455     0,96  A35
     25   1914374000185 CARMO E SALES LTDA       CAMPO GRANDE    MARECHAL RONDON              7       1,169         244,31   1,75   1,41   1,42  88,30  88,30   459     1,65  A14
     26  50946247000173 MERCADO BIONDO LTDA      CAMPO GRANDE    RUA EDUARDO SANTOS P         4       0,662         237,46   0,89   0,80   1,38  89,69  89,69   455     5,27  A14
     27  38075613000160 GILVAN LINO DA SILVA     CAMPO GRANDE    CARLOTA MASSA FARINA         4       0,521         220,77   0,93   0,63   1,29  90,98  90,98   459     5,80  A14
     28  12469820000106 MERCADO KI PRECO         CAMPO GRANDE    DOLORES DURAN                5       1,400         211,26   1,31   1,69   1,23  92,21  92,21   459     1,95  A14
     29  17522652000199 RODRIGUES E LOPES MERCAD CAMPO GRANDE    CONGONHAS                    5       1,001         207,91   1,26   1,21   1,21  93,43  93,43   153     5,61  A02
     30  34498500000117 GAZOLLA E COSTA COMERCIO CAMPO GRANDE    PEDRO GOMES                  8       1,189         173,57   1,85   1,44   1,01  94,45  94,45   451     1,99  A14
     31  28804848000192 THIAGO CUPERTINO DE SOUZ CAMPO GRANDE    AV MANOEL JOAQUIM DE         3       0,890         159,92   0,76   1,07   0,93  95,38  95,38   151     7,99  K10
     32  37036835000101 FRED CONVENIENCIA LTDA   CAMPO GRANDE    AVENIDA DOUTOR GUNTE         4       1,040         154,81   0,92   1,26   0,90  96,29  96,29   151     7,37  456
     33  24617141000116 JC COMERCIO DE PRODUTOS  CAMPO GRANDE    RUA BARAO DE LIMEIRA         4       1,125         151,08   1,04   1,36   0,88  97,17  97,17   153     5,03  456
     34  10631874000109 DIAS E GUNDIM LTDA       CAMPO GRANDE    JULIA MAKSOUD                5       0,673         139,19   1,23   0,81   0,81  97,99  97,99   455     3,56  456
     35  15585816000100 CELSO IWASHITA MEI       CAMPO GRANDE    PEDRO FERNANDES VIEI         2       0,291         130,44   0,55   0,35   0,76  98,75  98,75   459     2,66  A14
     36   7691695000144 CORREA MERC E COM VAREJI CAMPO GRANDE    TRAVESSA SANTIAGO            2       0,596         107,64   0,47   0,72   0,62  99,38  99,38   453     0,99  A02
     37  27499155000170 GE COMERCIAL DE ALIMENTO CAMPO GRANDE    RUA VALERIO DE ALMEI         5       0,663         105,24   1,22   0,80   0,61 100,00 100,00   453     2,92  A14

                                                              Total destes clientes:        450      82,426      17.090,04 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:        450      82,426      17.090,04 100,00 100,00 100,00 100,00 100,00
