 M 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TRIUNFANTE MATOGROSSENSE ALIMENTOS LTDA                                                                                                    12 Faturamento          Ref:em11302
Filial: CAMPO GRANDE                                                                                                                                    Emissao    Hora   Folha
                                          CURVA ABC DE CLIENTES SOBRE VENDAS REFERENTE A VALORES NO PERIODO DE 07/03/24 A 07/03/24                      07/03/24   11:16   0001
-----GRUPO TRIUNFANTE-----------------------------------------------------------------------------------------------------------------------------------Usuario: willian-------
Ranking *---------------Cliente----------------* Cidade          Endereco            Peso Bruto      Caixas          Valor    %PB    %Cx   %Vlr   %ACP   %ACG  Repr Pr.Medio Censo

 Fornec: GERAL                Repres: GERAL                 Linha: GERAL                 Censo: GERAL

      1   2318826000200 VRA COMERCIO LTDA        CORUMBA         PEDRO DE MEDEIROS          948     160,692      44.432,40  71,04  67,80  68,70  68,70  68,70   989     2,16  A35
     27  17556468000160 VALDIR GONCALVES DE AZEV CAMPO GRANDE    RUA CHARLOTE                 7       1,000         133,91   0,59   0,42   0,20  99,11  99,11   453     2,47  1
     28  30286597000143 WALDEIR RODRIGUES PIRES  CAMPO GRANDE    RUA MANOEL TAVEIRA           2       0,564         119,51   0,20   0,23   0,18  99,30  99,30   457     1,78  456
     29  22127289000147 TIAGO GARCIA DA SILVA    CAMPO GRANDE    PROFESSOR XANDINHO           0       0,123         116,53   0,05   0,05   0,18  99,48  99,48   459     2,77  456
     30  26104740000161 TRIGOS DA MATA EIRELI ME CAMPO GRANDE    OLIMPIO  KLAFKE              0       0,123         116,53   0,05   0,05   0,18  99,66  99,66   455     2,77  A07
     31  42973471000126 RINALDA DE MELO OLIVEIRA CAMPO GRANDE    RUA DIVA LEMOS ALBER         4       0,502         111,24   0,33   0,21   0,17  99,83  99,83   151     2,31  A14
     32  22146602000194 JOHNY SEABRA LOUREIRO    CAMPO GRANDE    AV DAS MANSOES               4       0,646         107,66   0,31   0,27   0,16 100,00 100,00   451     1,79  A07

                                                              Total destes clientes:      1.334     236,990      64.668,46 100,00 100,00 100,00 100,00 100,00

                                                                        Total geral:      1.334     236,990      64.668,46 100,00 100,00 100,00 100,00 100,00
